accuracy,loss,val_accuracy,val_loss
0.8721984624862671,-2.929866313934326,0.8781366348266602,-4.480915069580078
0.84723299741745,-3.2872629165649414,0.8443187475204468,-4.336782455444336
0.8238614797592163,-3.8609111309051514,0.8628093600273132,-5.1144938468933105
0.8806183934211731,-4.5009589195251465,0.8787268996238708,-5.307939052581787
0.8837474584579468,-4.497342586517334,0.8801050186157227,-5.301377296447754
0.8878371715545654,-4.57017183303833,0.8804515600204468,-5.347589015960693
0.8863505125045776,-4.571847915649414,0.879684567451477,-5.346864700317383
0.8892108798027039,-4.594720363616943,0.8811920285224915,-5.3700737953186035
0.888924777507782,-4.6085124015808105,0.8804686665534973,-5.375607490539551
0.8895076513290405,-4.610900402069092,0.8807662129402161,-5.349849224090576
