dec_cc_accuracy,dec_cc_loss,dec_cc_one_hot_mean_io_u_6,dec_ms_accuracy,dec_ms_loss,dec_ms_one_hot_mean_io_u_7,loss
0.19203604757785797,0.006979674566537142,0.04487888514995575,0.1982809156179428,0.1146523728966713,0.06506628543138504,0.06081600859761238
0.2444523274898529,0.005588500294834375,0.06871514767408371,0.24217785894870758,0.108036108314991,0.08078311383724213,0.056812308728694916
0.2750786542892456,0.004989824257791042,0.08029413968324661,0.24841898679733276,0.10691304504871368,0.07965527474880219,0.055951446294784546
0.3111928403377533,0.0046083261258900166,0.10261788219213486,0.24430954456329346,0.10627822577953339,0.08427705615758896,0.05544328689575195
0.3201657235622406,0.004312729462981224,0.11561495065689087,0.24786442518234253,0.10524798929691315,0.09091722220182419,0.05478033423423767
0.33159852027893066,0.004149293527007103,0.12455995380878448,0.287662535905838,0.10282908380031586,0.11293226480484009,0.05348918214440346
0.3483700156211853,0.003943478222936392,0.13331982493400574,0.32827743887901306,0.09779923409223557,0.13985829055309296,0.0508713535964489
0.3639809787273407,0.003858916461467743,0.13831642270088196,0.34119176864624023,0.09382950514554977,0.1579127460718155,0.04884420707821846
0.3603775203227997,0.003746771952137351,0.13803686201572418,0.34940505027770996,0.08942361921072006,0.17441833019256592,0.046585213392972946
0.3839133083820343,0.0036818727385252714,0.14872904121875763,0.375029057264328,0.08569592237472534,0.193869486451149,0.044688884168863297
0.41756850481033325,0.0034685288555920124,0.16150811314582825,0.3893011212348938,0.08186021447181702,0.2105247974395752,0.04266437515616417
0.4388655722141266,0.003385233925655484,0.17505596578121185,0.40440303087234497,0.0801917240023613,0.22442103922367096,0.041788481175899506
0.45041581988334656,0.0032512431498616934,0.18406018614768982,0.42183932662010193,0.07790716737508774,0.23348243534564972,0.04057919979095459
0.4547383487224579,0.0032755890861153603,0.1879677176475525,0.4285890758037567,0.07542579621076584,0.2421005517244339,0.03935069590806961
